Device ID,Minute,avg_temp,avg_current,max_pressure,total_power,avg_temp_rate,avg_temp_smooth,avg_current_smooth,total_power_smooth,temp_roll_max,temp_roll_min,power_roll_max,power_roll_min,safety_score,safety_score_smooth,Status,avg_temp_smooth_risk,avg_current_smooth_risk,max_pressure_risk,avg_temp_smooth_anomaly,avg_current_smooth_anomaly,max_pressure_anomaly
device_1,2025-09-27 11:56:00+05:30,28.816666666666666,4.306666666666667,2.03,2842.4,0.043990416611206916,28.816666666666666,4.306666666666667,2842.4,28.816666666666666,28.816666666666666,2842.4,2842.4,29.735416666666666,29.735416666666666,On,0.36020833333333335,0.43066666666666664,0.01015,False,False,False
device_10,2025-09-27 11:56:00+05:30,28.765,4.640000000000001,2.14,2041.6,0.009074410163339727,28.765,4.640000000000001,2041.6,28.765,28.765,2041.6,2041.6,30.89,30.89,On,0.3595625,0.4640000000000001,0.010700000000000001,False,False,False
device_11,2025-09-27 11:56:00+05:30,30.265,5.359999999999999,2.09,4716.799999999999,-0.26825363369691213,30.265,5.359999999999999,4716.799999999999,30.265,30.265,4716.799999999999,4716.799999999999,34.15375,34.15375,On,0.3783125,0.5359999999999999,0.01045,False,False,False
device_12,2025-09-27 11:56:00+05:30,30.139999999999997,4.956,2.16,5451.6,0.3347952360792421,30.139999999999997,4.956,5451.6,30.139999999999997,30.139999999999997,5451.6,5451.6,32.686,32.686,On,0.37675,0.49560000000000004,0.0108,False,False,False
device_13,2025-09-27 11:56:00+05:30,29.286666666666665,5.076666666666667,2.12,3350.6,-0.2078776312557573,29.286666666666665,5.076666666666667,3350.6,29.286666666666665,29.286666666666665,3350.6,3350.6,32.67666666666666,32.67666666666666,On,0.3660833333333333,0.5076666666666667,0.0106,False,False,False
device_14,2025-09-27 11:56:00+05:30,29.814,5.090000000000001,2.17,5599.0,-0.1873251691386944,29.814,5.090000000000001,5599.0,29.814,29.814,5599.0,5599.0,32.99325000000001,32.99325000000001,On,0.372675,0.5090000000000001,0.01085,False,False,False
device_15,2025-09-27 11:56:00+05:30,30.835,5.3025,2.18,4666.2,-0.8183009579312098,30.835,5.3025,4666.2,30.835,30.835,4666.2,4666.2,34.248749999999994,34.248749999999994,On,0.3854375,0.53025,0.0109,False,False,False
device_16,2025-09-27 11:56:00+05:30,30.098000000000003,4.965999999999999,2.18,5462.6,-0.25998999020391217,30.098000000000003,4.965999999999999,5462.6,30.098000000000003,30.098000000000003,5462.6,5462.6,32.70249999999999,32.70249999999999,On,0.37622500000000003,0.49659999999999993,0.0109,False,False,False
device_17,2025-09-27 11:56:00+05:30,30.353333333333335,4.89,2.18,3227.4,0.23130759186718838,30.353333333333335,4.89,3227.4,30.353333333333335,30.353333333333335,3227.4,3227.4,32.564166666666665,32.564166666666665,On,0.3794166666666667,0.489,0.0109,False,False,False
device_18,2025-09-27 11:56:00+05:30,31.24,4.760000000000001,2.17,3141.6,-0.053440061078937805,31.24,4.760000000000001,3141.6,31.24,31.24,3141.6,3141.6,32.55125,32.55125,On,0.39049999999999996,0.4760000000000001,0.01085,False,False,False
device_19,2025-09-27 11:56:00+05:30,29.4925,5.205,2.16,4580.4,0.3205724292283929,29.4925,5.205,4580.4,29.4925,29.4925,4580.4,4580.4,33.23375,33.23375,On,0.36865625,0.5205,0.0108,False,False,False
device_2,2025-09-27 11:56:00+05:30,30.586666666666662,5.046666666666667,2.0,3330.8,0.020802795669093044,30.586666666666662,5.046666666666667,3330.8,30.586666666666662,30.586666666666662,3330.8,3330.8,33.20666666666667,33.20666666666667,On,0.3823333333333333,0.5046666666666667,0.01,False,False,False
device_20,2025-09-27 11:56:00+05:30,28.369999999999997,4.775,2.2,2101.0,0.10995370370370341,28.369999999999997,4.775,2101.0,28.369999999999997,28.369999999999997,2101.0,2101.0,31.172499999999996,31.172499999999996,On,0.35462499999999997,0.47750000000000004,0.011000000000000001,False,False,False
device_21,2025-09-27 11:56:00+05:30,30.881999999999998,5.082,2.17,5590.2,-0.025443071149899098,30.881999999999998,5.082,5590.2,30.881999999999998,30.881999999999998,5590.2,5590.2,33.499249999999996,33.499249999999996,On,0.38602499999999995,0.5082,0.01085,False,False,False
device_22,2025-09-27 11:56:00+05:30,30.2275,4.6825,2.12,4120.6,-1.00209472256126,30.2275,4.6825,4120.6,30.2275,30.2275,4120.6,4120.6,31.7675,31.7675,On,0.37784375,0.46825,0.0106,False,False,False
device_23,2025-09-27 11:56:00+05:30,29.766666666666666,5.48,2.17,3616.8,-0.57115466837689,29.766666666666666,5.48,3616.8,29.766666666666666,29.766666666666666,3616.8,3616.8,34.334583333333335,34.334583333333335,On,0.3720833333333333,0.548,0.01085,False,False,False
device_24,2025-09-27 11:56:00+05:30,28.736666666666668,4.239999999999999,2.17,2798.3999999999996,0.11597972812611983,28.736666666666668,4.239999999999999,2798.3999999999996,28.736666666666668,28.736666666666668,2798.3999999999996,2798.3999999999996,29.479583333333338,29.479583333333338,On,0.35920833333333335,0.42399999999999993,0.01085,False,False,False
device_25,2025-09-27 11:56:00+05:30,29.564999999999998,5.795,2.19,2549.8,-0.7236510337871913,29.564999999999998,5.795,2549.8,29.564999999999998,29.564999999999998,2549.8,2549.8,35.338750000000005,35.338750000000005,On,0.36956249999999996,0.5795,0.01095,False,False,False
device_26,2025-09-27 11:56:00+05:30,29.742,4.506,2.15,4956.6,0.4292844119760894,29.742,4.506,4956.6,29.742,29.742,4956.6,4956.6,30.910750000000004,30.910750000000004,On,0.371775,0.4506,0.01075,False,False,False
device_27,2025-09-27 11:56:00+05:30,31.570000000000004,4.663333333333333,2.15,3077.7999999999997,-0.030205026502574044,31.570000000000004,4.663333333333333,3077.7999999999997,31.570000000000004,31.570000000000004,3077.7999999999997,3077.7999999999997,32.37541666666667,32.37541666666667,On,0.39462500000000006,0.4663333333333333,0.01075,False,False,False
device_28,2025-09-27 11:56:00+05:30,30.97,4.913333333333333,2.03,3242.8,0.061569529849363515,30.97,4.913333333333333,3242.8,30.97,30.97,3242.8,3242.8,32.93541666666667,32.93541666666667,On,0.387125,0.4913333333333333,0.01015,False,False,False
device_29,2025-09-27 11:56:00+05:30,30.165,5.0600000000000005,2.17,4452.8,-0.4665996068293707,30.165,5.0600000000000005,4452.8,30.165,30.165,4452.8,4452.8,33.06375,33.06375,On,0.37706249999999997,0.506,0.01085,False,False,False
device_3,2025-09-27 11:56:00+05:30,29.19,4.803333333333334,2.1,3170.2000000000003,-0.5949798464235188,29.19,4.803333333333334,3170.2000000000003,29.19,29.19,3170.2000000000003,3170.2000000000003,31.669166666666666,31.669166666666666,On,0.364875,0.4803333333333334,0.0105,False,False,False
device_30,2025-09-27 11:56:00+05:30,29.540000000000003,5.096666666666667,2.17,3363.8,0.2952234269176648,29.540000000000003,5.096666666666667,3363.8,29.540000000000003,29.540000000000003,3363.8,3363.8,32.87958333333334,32.87958333333334,On,0.36925,0.5096666666666667,0.01085,False,False,False
device_31,2025-09-27 11:56:00+05:30,30.436,5.244,2.19,5768.4,0.2185750567304329,30.436,5.244,5768.4,30.436,30.436,5768.4,5768.4,33.84575,33.84575,On,0.38045,0.5244,0.01095,False,False,False
device_32,2025-09-27 11:56:00+05:30,29.425,4.4375,2.17,3905.0,0.6482927111393708,29.425,4.4375,3905.0,29.425,29.425,3905.0,3905.0,30.515000000000004,30.515000000000004,On,0.3678125,0.44375,0.01085,False,False,False
device_33,2025-09-27 11:56:00+05:30,30.4275,4.8175,2.17,4239.4,-0.1634192497713248,30.4275,4.8175,4239.4,30.4275,30.4275,4239.4,4239.4,32.34625,32.34625,On,0.38034375,0.48175,0.01085,False,False,False
device_34,2025-09-27 11:56:00+05:30,29.816666666666666,5.093333333333334,2.05,3361.6,0.6851608917616764,29.816666666666666,5.093333333333334,3361.6,29.816666666666666,29.816666666666666,3361.6,3361.6,32.99125000000001,32.99125000000001,On,0.3727083333333333,0.5093333333333334,0.010249999999999999,False,False,False
device_35,2025-09-27 11:56:00+05:30,30.475,4.720000000000001,2.04,4153.6,-0.38281811159147283,30.475,4.720000000000001,4153.6,30.475,30.475,4153.6,4153.6,32.0125,32.0125,On,0.38093750000000004,0.4720000000000001,0.0102,False,False,False
device_36,2025-09-27 11:56:00+05:30,30.103333333333335,5.203333333333333,1.94,3434.2000000000003,-0.3497265034000032,30.103333333333335,5.203333333333333,3434.2000000000003,30.103333333333335,30.103333333333335,3434.2000000000003,3434.2000000000003,33.505833333333335,33.505833333333335,On,0.3762916666666667,0.5203333333333333,0.0097,False,False,False
device_37,2025-09-27 11:56:00+05:30,29.3425,4.3725,2.14,3847.8,0.2386425759053592,29.3425,4.3725,3847.8,29.3425,29.3425,3847.8,3847.8,30.242499999999993,30.242499999999993,On,0.36678125,0.43724999999999997,0.010700000000000001,False,False,False
device_38,2025-09-27 11:56:00+05:30,29.975,4.925,2.14,4334.0,-0.4904602276605965,29.975,4.925,4334.0,29.975,29.975,4334.0,4334.0,32.4925,32.4925,On,0.3746875,0.4925,0.010700000000000001,False,False,False
device_39,2025-09-27 11:56:00+05:30,29.613333333333333,4.833333333333333,2.1,3190.0,0.10946213542921872,29.613333333333333,4.833333333333333,3190.0,29.613333333333333,29.613333333333333,3190.0,3190.0,31.985833333333325,31.985833333333325,On,0.37016666666666664,0.4833333333333333,0.0105,False,False,False
device_4,2025-09-27 11:56:00+05:30,29.275,4.635,2.06,4078.8,0.3843976896380954,29.275,4.635,4078.8,29.275,29.275,4078.8,4078.8,31.1175,31.1175,On,0.36593749999999997,0.46349999999999997,0.0103,False,False,False
device_40,2025-09-27 11:56:00+05:30,30.0925,5.0375,2.19,4433.0,0.17703926774320994,30.0925,5.0375,4433.0,30.0925,30.0925,4433.0,4433.0,32.95125,32.95125,On,0.37615625,0.5037499999999999,0.01095,False,False,False
device_41,2025-09-27 11:56:00+05:30,30.19,5.1525,2.18,4534.200000000001,-0.1720869313846723,30.19,5.1525,4534.200000000001,30.19,30.19,4534.200000000001,4534.200000000001,33.40125,33.40125,On,0.377375,0.51525,0.0109,False,False,False
device_42,2025-09-27 11:56:00+05:30,30.2025,5.26,2.19,4628.8,-1.3767520509539437,30.2025,5.26,4628.8,30.2025,30.2025,4628.8,4628.8,33.785,33.785,On,0.37753125,0.526,0.01095,False,False,False
