Device ID,System Type,Timestamp,Temperature (°C),Current (A),Pressure (hPa),Alert,Power (W),Temp_Rate,Timestamp_IST,Status
device_1,pipe,2025-09-27 06:26:09.087000+00:00,29.73,4.58,1.88,True,1007.6,0.0,2025-09-27 11:56:09.087000+05:30,On
device_1,pipe,2025-09-27 06:26:11.067000+00:00,28.02,4.32,1.93,True,950.4000000000001,-0.8636363636363641,2025-09-27 11:56:11.067000+05:30,On
device_1,pipe,2025-09-27 06:26:11.750000+00:00,28.7,4.02,2.03,True,884.3999999999999,0.9956076134699848,2025-09-27 11:56:11.750000+05:30,On
device_10,pipe,2025-09-27 06:26:09.456000+00:00,28.75,5.11,2.14,True,1124.2,0.0,2025-09-27 11:56:09.456000+05:30,On
device_10,pipe,2025-09-27 06:26:11.109000+00:00,28.78,4.17,2.0,True,917.4,0.018148820326679454,2025-09-27 11:56:11.109000+05:30,On
device_11,container,2025-09-27 06:26:08.977000+00:00,30.48,5.06,1.93,False,1113.1999999999998,0.0,2025-09-27 11:56:08.977000+05:30,On
device_11,container,2025-09-27 06:26:10.387000+00:00,30.09,4.99,1.89,False,1097.8,-0.27659574468085146,2025-09-27 11:56:10.387000+05:30,On
device_11,container,2025-09-27 06:26:11.496000+00:00,30.9,5.6,2.06,False,1232.0,0.7303877366997283,2025-09-27 11:56:11.496000+05:30,On
device_11,container,2025-09-27 06:26:12.354000+00:00,29.59,5.79,2.09,False,1273.8,-1.5268065268065254,2025-09-27 11:56:12.354000+05:30,On
device_12,container,2025-09-27 06:26:08.197000+00:00,29.31,5.33,1.88,False,1172.6,0.0,2025-09-27 11:56:08.197000+05:30,On
device_12,container,2025-09-27 06:26:09.922000+00:00,30.2,4.84,2.16,False,1064.8,0.5159420289855076,2025-09-27 11:56:09.922000+05:30,On
device_12,container,2025-09-27 06:26:10.667000+00:00,30.36,5.04,2.01,False,1108.8,0.21476510067114113,2025-09-27 11:56:10.667000+05:30,On
device_12,container,2025-09-27 06:26:11.757000+00:00,29.92,4.2,1.97,False,924.0,-0.40366972477064006,2025-09-27 11:56:11.757000+05:30,On
device_12,container,2025-09-27 06:26:12.492000+00:00,30.91,5.37,1.97,False,1181.4,1.346938775510202,2025-09-27 11:56:12.492000+05:30,On
device_13,container,2025-09-27 06:26:09.226000+00:00,29.47,5.13,2.11,False,1128.6,0.0,2025-09-27 11:56:09.226000+05:30,On
device_13,container,2025-09-27 06:26:09.969000+00:00,29.86,4.67,2.12,False,1027.4,0.5248990578734867,2025-09-27 11:56:09.969000+05:30,On
device_13,container,2025-09-27 06:26:11.127000+00:00,28.53,5.43,2.0,False,1194.6,-1.1485319516407586,2025-09-27 11:56:11.127000+05:30,On
device_14,container,2025-09-27 06:26:08.291000+00:00,31.12,5.19,2.06,False,1141.8000000000002,0.0,2025-09-27 11:56:08.291000+05:30,On
device_14,container,2025-09-27 06:26:08.899000+00:00,30.36,4.83,2.17,False,1062.6,-1.2500000000000027,2025-09-27 11:56:08.899000+05:30,On
device_14,container,2025-09-27 06:26:10.607000+00:00,28.72,5.66,1.86,False,1245.2,-0.960187353629977,2025-09-27 11:56:10.607000+05:30,On
device_14,container,2025-09-27 06:26:11.237000+00:00,29.22,5.65,2.06,False,1243.0,0.7936507936507936,2025-09-27 11:56:11.237000+05:30,On
device_14,container,2025-09-27 06:26:12.133000+00:00,29.65,4.12,1.94,False,906.4,0.47991071428571397,2025-09-27 11:56:12.133000+05:30,On
device_15,container,2025-09-27 06:26:09.053000+00:00,31.07,5.87,2.18,False,1291.4,0.0,2025-09-27 11:56:09.053000+05:30,On
device_15,container,2025-09-27 06:26:10.171000+00:00,31.14,4.26,1.94,False,937.1999999999999,0.06261180679785355,2025-09-27 11:56:10.171000+05:30,On
device_15,container,2025-09-27 06:26:10.836000+00:00,31.63,5.25,1.81,False,1155.0,0.7368421052631555,2025-09-27 11:56:10.836000+05:30,On
device_15,container,2025-09-27 06:26:11.359000+00:00,29.5,5.83,2.07,False,1282.6,-4.072657743785848,2025-09-27 11:56:11.359000+05:30,On
device_16,container,2025-09-27 06:26:08.237000+00:00,30.84,4.85,1.89,False,1067.0,0.0,2025-09-27 11:56:08.237000+05:30,On
device_16,container,2025-09-27 06:26:09.004000+00:00,28.01,4.35,2.0,False,956.9999999999999,-3.6897001303780943,2025-09-27 11:56:09.004000+05:30,On
device_16,container,2025-09-27 06:26:09.886000+00:00,29.32,5.08,2.18,False,1117.6,1.4852607709750552,2025-09-27 11:56:09.886000+05:30,On
device_16,container,2025-09-27 06:26:11.184000+00:00,31.85,5.96,2.09,False,1311.2,1.9491525423728822,2025-09-27 11:56:11.184000+05:30,On
device_16,container,2025-09-27 06:26:12.505000+00:00,30.47,4.59,2.11,False,1009.8,-1.044663133989404,2025-09-27 11:56:12.505000+05:30,On
device_17,container,2025-09-27 06:26:08.650000+00:00,28.78,5.01,2.07,False,1102.2,0.0,2025-09-27 11:56:08.650000+05:30,On
device_17,container,2025-09-27 06:26:10.437000+00:00,31.95,5.0,2.16,False,1100.0,1.7739227756015659,2025-09-27 11:56:10.437000+05:30,On
device_17,container,2025-09-27 06:26:11.937000+00:00,30.33,4.66,2.18,False,1025.2,-1.0800000000000007,2025-09-27 11:56:11.937000+05:30,On
device_18,container,2025-09-27 06:26:08.268000+00:00,31.88,5.36,2.14,False,1179.2,0.0,2025-09-27 11:56:08.268000+05:30,On
device_18,container,2025-09-27 06:26:10.084000+00:00,30.24,4.4,1.83,False,968.0000000000001,-0.9030837004405289,2025-09-27 11:56:10.084000+05:30,On
device_18,container,2025-09-27 06:26:11.915000+00:00,31.6,4.52,2.17,False,994.3999999999999,0.7427635172037155,2025-09-27 11:56:11.915000+05:30,On
device_19,container,2025-09-27 06:26:08.790000+00:00,28.65,5.64,1.84,False,1240.8,0.0,2025-09-27 11:56:08.790000+05:30,On
device_19,container,2025-09-27 06:26:09.814000+00:00,30.26,4.31,1.9,False,948.1999999999999,1.5722656250000029,2025-09-27 11:56:09.814000+05:30,On
device_19,container,2025-09-27 06:26:10.869000+00:00,28.73,5.76,2.03,False,1267.2,-1.4502369668246458,2025-09-27 11:56:10.869000+05:30,On
device_19,container,2025-09-27 06:26:12.248000+00:00,30.33,5.11,2.16,False,1124.2,1.1602610587382145,2025-09-27 11:56:12.248000+05:30,On
device_2,pipe,2025-09-27 06:26:08.192000+00:00,30.9,4.04,2.0,True,888.8,0.0,2025-09-27 11:56:08.192000+05:30,On
device_2,pipe,2025-09-27 06:26:09.845000+00:00,29.56,5.3,1.91,True,1166.0,-0.8106473079249847,2025-09-27 11:56:09.845000+05:30,On
device_2,pipe,2025-09-27 06:26:11.838000+00:00,31.3,5.8,1.87,True,1276.0,0.8730556949322639,2025-09-27 11:56:11.838000+05:30,On
device_20,container,2025-09-27 06:26:09.395000+00:00,28.18,4.03,2.2,False,886.6,0.0,2025-09-27 11:56:09.395000+05:30,On
device_20,container,2025-09-27 06:26:11.123000+00:00,28.56,5.52,2.15,False,1214.3999999999999,0.21990740740740683,2025-09-27 11:56:11.123000+05:30,On
